image,ground_truth,prediction,CER_score
test023_1.jpg,B1730JLO,IS1730JL,0.3750
test024_1.jpg,B2964TRU,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB2964,5.1250
test025_1.jpg,S5585LP,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS5585,5.5714
test025_2.jpg,L2858RR,L285B,0.4286
test025_3.jpg,W1185ZO,W1185ZO,0.0000
test025_4.jpg,9840VU,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS98340,6.8333
test026_1.jpg,N9652DF,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS9652,5.5714
test026_2.jpg,L3836ZX,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS38336ZX,5.4286
test027_1.jpg,N1905IG,N1905IG,0.0000
test027_2.jpg,B1109CLR,B1109C,0.2500
test027_3.jpg,L1840AA,IS1840AA,0.2857
test028_1.jpg,L1438EO,IS1438E,0.4286
test028_2.jpg,L1436AAA,IS1436AA,0.3750
test029_1.jpg,W1518WF,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISW156,6.0000
test029_2.jpg,G1986N,G1986N,0.0000
test029_3.jpg,L1588OO,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISL1588,5.7143
test029_4.jpg,L1436AAA,IS1436AA,0.3750
test030_1.jpg,S8062NF,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS8062,5.5714
test030_2.jpg,G1894TE,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1894,5.5714
test031_1.jpg,L1560JQ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISL1560,5.7143
test031_2.jpg,L1568QO,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1568,5.5714
test031_3.jpg,L1932AAZ,L1932AAZ,0.0000
test032_1.jpg,B2754SKY,B2754SKY,0.0000
test032_2.jpg,W1192K,W1192K,0.0000
test033_1.jpg,L4561VK,L4561VK,0.0000
test033_2.jpg,L2693GA,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISL2693,5.7143
test033_3.jpg,W9847G,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS8847,6.5000
test033_4.jpg,L1762ABJ,IS1762ABJ,0.2500
test034_1.jpg,L1811SU,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISL1811U,5.5714
test034_2.jpg,W1167VO,N1167VB,0.2857
test034_3.jpg,S6131OCF,S6131OC,0.1250
test034_4.jpg,L2570AAD,L2567AAD,0.2500
test035_1.jpg,L9643NN,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS9643,5.5714
test035_2.jpg,L5247GI,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS5217,5.7143
test035_3.jpg,L2498AAM,L2290AAM,0.2500
test035_4.jpg,W1696YO,W1696YO,0.0000
test036_1.jpg,B1231JJA,IS1231JJA,0.2500
test036_2.jpg,B1618UAE,B1618UAE,0.0000
test037_1.jpg,L1775VO,IS1775V,0.4286
test037_2.jpg,L300RX,IS300RX,0.3333
test037_3.jpg,L1879VG,IS1879VC,0.4286
test038_1.jpg,D1523YCN,IS1523YCN,0.2500
test038_2.jpg,L1877ACU,IS1877A,0.5000
test039_1.jpg,L1069VK,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1069,5.5714
test040_1.jpg,S1595LL,IS1595L,0.2857
test041_1.jpg,B1231JJA,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB1231JA,4.8750
test042_1.jpg,AD1174SF,IS1175SF,0.3750
test043_1.jpg,W1898YW,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1898YW,5.2857
test043_2.jpg,W1470PG,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISW14670PG,5.5714
test044_1.jpg,L1930KF,IS1930KF,0.2857
test044_2.jpg,N1004HE,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISN1004,5.7143
test045_1.jpg,S1347LJ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS13347,5.7143
test046_1.jpg,L1470ABK,L1470ABB,0.1250
test046_2.jpg,L1265MX,L1265MX,0.0000
test047_1.jpg,N1524SY,IS1524SY,0.2857
test047_2.jpg,L1678ACE,L1678ACE,0.0000
test048_1.jpg,L9316BC,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS9316,5.5714
test048_2.jpg,W1838AY,IS1838AY,0.2857
test049_1.jpg,N1376DE,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1376,5.5714
test049_2.jpg,N79AP,IS79AP,0.4000
test050_1.jpg,L1265OF,L1265OF,0.0000
test050_2.jpg,N1095G,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1095,6.3333
test051_1.jpg,N1718HC,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1718,5.5714
test052_1.jpg,N6497KS,N6797KS,0.1429
test052_2.jpg,N5235ABX,IS5235ABX,0.2500
test052_3.jpg,N4980KJ,IS4980KJ,0.2857
test053_1.jpg,N1365AAO,N1365AAO,0.0000
test054_1.jpg,N1077AAK,IS1077AAK,0.2500
test054_2.jpg,N1084AAO,IS1084AAO,0.2500
test055_1.jpg,N1610KS,N1601KS,0.2857
test056_1.jpg,N924CIA,IS924CIA,0.2857
test056_2.jpg,N1623HB,IS1623HB,0.2857
test056_3.jpg,L1430HF,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1430,5.5714
test057_1.jpg,N1342T,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1342,6.3333
test057_2.jpg,N4145AB,H145AB,0.2857
test057_3.jpg,N1396AAH,IS1396AAH,0.2500
test058_1.jpg,N3153ACB,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISN315633ACB,5.0000
test058_2.jpg,N5829KJ,IS5029KJ,0.4286
test058_3.jpg,N1780JL,IS1780JL,0.2857
test059_1.jpg,W8774PA,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS8771,5.7143
test059_2.jpg,B9162FXU,B9916FXU,0.2500
test060_1.jpg,L1846JE,L1846JE,0.0000
test060_2.jpg,M1457ITA,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1357,5.1250
test061_1.jpg,AA1971KJ,AA1971KJ,0.0000
test061_2.jpg,BD1146DH,BD1146DH,0.0000
test062_1.jpg,B9654PEU,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB9654PEU,4.7500
test062_2.jpg,AE7244S,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISAE72145S,5.7143
test063_1.jpg,S1208BI,S1208BI,0.0000
test064_1.jpg,AE8137G,AE8137G,0.0000
test065_1.jpg,H1706SW,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1706,5.5714
test066_1.jpg,T1220HS,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1220,5.5714
test066_2.jpg,H1790ZY,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS179028G6,5.8571
test067_1.jpg,L1855BR,IS1855BR,0.2857
test067_2.jpg,AB1274EV,AB1274EV,0.0000
test068_1.jpg,B2310UZS,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB23010UZS,4.8750
test068_2.jpg,G1264CM,TH1236AND,0.8571
test069_1.jpg,AA1138AK,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISAAA1138,5.1250
test070_1.jpg,B2160TOB,B2160TOB,0.0000
test070_2.jpg,B2597BYK,IS2597BYK,0.2500
test071_1.jpg,G9545AG,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISG95654AG,5.8571
test072_1.jpg,BG1870IB,IS1870IB,0.2500
test073_1.jpg,T1187HB,IS1187HB,0.2857
test073_2.jpg,A1330FP,IS1330FP,0.2857
test074_1.jpg,G1368GE,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1368,5.5714
test074_2.jpg,B1081CMR,B1081CMR,0.0000
test075_1.jpg,G2474XZ,C201X,0.7143
test075_2.jpg,G9173BP,G9173BP,0.0000
test075_3.jpg,7066OF,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS716025,7.3333
test076_1.jpg,G2151ASF,G2151ASF,0.0000
test076_2.jpg,E500MA,E500M,0.1667
test076_3.jpg,G4689SN,G6809SN,0.2857
test077_1.jpg,G1754QZ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISG17502,5.8571
test078_1.jpg,H1413DH,H143DH,0.1429
test079_1.jpg,T1688GY,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1688,5.5714
test079_2.jpg,A1260AJ,A126C,0.4286
test080_1.jpg,D77HSB,IS77HSB,0.3333
test080_2.jpg,B1861TOI,B1861T,0.2500
test080_3.jpg,D1160ADE,D1160ADE,0.0000
test081_1.jpg,F8097BD,IS8097BD,0.2857
test081_2.jpg,F1992AM,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISF1992,5.7143
test082_1.jpg,E1824YZ,E1824YZ,0.0000
test082_2.jpg,B9093UEX,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB9033,5.2500
test083_1.jpg,F5052AAE,IS5052AAE,0.2500
test083_2.jpg,F5452CQ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS552,5.8571
test084_1.jpg,B1158PYP,B1168PYP,0.1250
test084_2.jpg,B1242VOY,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB1232VOY,4.8750
test085_1.jpg,B1315KIF,B1315KIF,0.0000
test085_2.jpg,B2938FVJ,B2938FVJ,0.0000
test085_3.jpg,B2560SKZ,B2560SKZ,0.0000
test086_1.jpg,B1291NOJ,B1291NJB,0.2500
test086_2.jpg,B1556NRC,IS1566NRC,0.3750
test087_1.jpg,B6823WXR,B6823WXR,0.0000
test087_2.jpg,B6317NXK,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS66317NXXK,4.8750
test087_3.jpg,F2215FCQ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISF2315FCO0628,5.5000
test087_4.jpg,4039NHR,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS40379,6.0000
test088_1.jpg,B2190TYB,B2190TYB,0.0000
test088_2.jpg,B1902VKA,IS1902VKA,0.2500
test089_1.jpg,D8609N,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS8609,6.5000
test089_2.jpg,A8406ZE,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISA8406ZE,5.4286
test089_3.jpg,B1246KRK,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB126124KRK,5.2500
test090_1.jpg,T9314E,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS9314,6.3333
test090_2.jpg,N9579U,N0579U,0.1667
test091_1.jpg,B2910KZW,B2910KZW,0.0000
test091_2.jpg,B9721KXV,B9721KXX,0.1250
test092_1.jpg,B1104AAA,B1104AA,0.1250
test092_2.jpg,T1579FN,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1579,5.5714
test092_3.jpg,B2346POC,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB2346POC,4.7500
test093_1.jpg,B2026BIU,B206B,0.3750
test094_1.jpg,G1255EJ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEIS1255,5.5714
test095_1.jpg,B1201KAD,B1201KAD,0.0000
test095_2.jpg,B2310JUK,B2310JUK,0.0000
test095_3.jpg,B28YHH,B28YYH,0.3333
test096_1.jpg,B1354COJ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISB1354COJ,4.7500
test096_2.jpg,B1502NRO,B1502NRO,0.0000
test097_1.jpg,B1650NOG,IS1650NOG,0.2500
test097_2.jpg,B6354SVL,IS6354SVL,0.2500
test098_1.jpg,B1779DOB,B1779AND,0.5000
test099_1.jpg,B2017PBQ,THELICENSEPLATENUMBERSHOWNINTHEIMAGEISBPQ2017,5.3750
test099_2.jpg,B1892WZT,IS1892WZT,0.2500
test100_1.jpg,B1071PRG,B1071PRG,0.0000
test100_2.jpg,B2134PZJ,IS213PZJ,0.3750
